Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Current job role,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69bbf4ac27c9d1adce1d48c7,696a9a8f6a7516dc18711c62,APPROVED,Not Applicable,2026-03-19T13:05:51.851000Z,2026-03-19T13:09:43.109000Z,2026-03-20T05:57:38.719000Z,2026-03-19T13:09:43.466286Z,232.0,CO7GMO3N,96,Software Engineer / Developer,"English, French",35,Male,White,France,France,France,French,No,Full-Time
69bbfb6ee7107bf443b9858c,699755dea525e12605649b04,APPROVED,Not Applicable,2026-03-19T13:34:43.750000Z,2026-03-19T13:42:45.980000Z,2026-03-20T05:57:39.037000Z,2026-03-19T13:42:58.407770Z,483.0,CO7GMO3N,20,Software Engineer / Developer,"Russian, English",35,Female,White,Kazakhstan,Canada,Canada,Russian,No,Part-Time
69bbfb8f00eab6ff6dca564f,5cd53d40aeb4100001c18aa8,APPROVED,Not Applicable,2026-03-19T13:35:14.691000Z,2026-03-19T13:38:48.671000Z,2026-03-20T05:57:39.315000Z,2026-03-19T13:38:49.073784Z,214.0,CO7GMO3N,1182,Software Engineer / Developer,"Italian, English",40,Female,White,Italy,Italy,Italy,Italian,No,Part-Time
69bc0169a85a2927813f35d6,697a66c7cc9be0a086b52959,APPROVED,Not Applicable,2026-03-19T14:00:09.300000Z,2026-03-19T14:02:45.174000Z,2026-03-20T05:57:39.617000Z,2026-03-19T14:02:45.601955Z,156.0,CO7GMO3N,9,Software Engineer / Developer,English,41,Male,White,France,France,France,French,No,Full-Time
69bc0264a62bee4497c07bc5,63f78c9346da47f7f8f3aef9,APPROVED,Not Applicable,2026-03-19T14:04:22.348000Z,2026-03-19T14:06:35.321000Z,2026-03-20T05:57:39.908000Z,2026-03-19T14:06:35.749246Z,133.0,CO7GMO3N,4129,Software Engineer / Developer,English,32,Male,White,United States,United States,United States,English,No,Part-Time
69bc06cbf55dc862fe9ad5ad,6980b9119ae4ea3181ffcc9e,APPROVED,Not Applicable,2026-03-19T14:23:10.501000Z,2026-03-19T14:27:13.064000Z,2026-03-20T05:57:40.201000Z,2026-03-19T14:27:13.425199Z,243.0,CO7GMO3N,17,Software Engineer / Developer,"Bulgarian, English, Macedonian",29,Male,Mixed,Bulgaria,Netherlands,Bulgaria,Bulgarian,No,Full-Time
69bc07f84e767023e788320e,65b3de63e8ce6cff21fb2be0,APPROVED,Not Applicable,2026-03-19T14:28:12.979000Z,2026-03-19T14:31:08.712000Z,2026-03-20T05:57:40.484000Z,2026-03-19T14:31:09.040393Z,176.0,CO7GMO3N,393,Software Engineer / Developer,"German, English",47,Female,White,Germany,Germany,Germany,German,No,Part-Time
69bc0ba5445ef631965cd5a4,697cbbdd1a0e686e323ad539,APPROVED,Not Applicable,2026-03-19T14:43:52.586000Z,2026-03-19T14:47:11.380000Z,2026-03-20T05:57:40.783000Z,2026-03-19T14:47:11.739990Z,199.0,CO7GMO3N,8,Software Engineer / Developer,"Portuguese, English",30,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
69bc11f86ae4685cce99fdf8,6676e6fd94a77038a8c58fc1,APPROVED,Not Applicable,2026-03-19T15:10:52.093000Z,2026-03-19T15:12:41.893000Z,2026-03-20T05:57:41.090000Z,2026-03-19T15:12:42.247840Z,110.0,CO7GMO3N,326,Software Engineer / Developer,"Greek, German, English",24,Male,White,Greece,Germany,Greece,Greek,Yes,Full-Time
69bc1475db7bc1ca848f7f75,67d440ccf6f3293d71c32e4d,APPROVED,Not Applicable,2026-03-19T15:21:30.149000Z,2026-03-19T15:25:38.495000Z,2026-03-20T05:57:41.366000Z,2026-03-19T15:25:38.839853Z,249.0,CO7GMO3N,1395,Software Engineer / Developer,English,40,Male,Black,United States,United States,United States,English,Yes,Part-Time
69bc1a50c864f5c5b9fba7f3,697ce5da1ca7b64152b9f922,APPROVED,Not Applicable,2026-03-19T15:46:24.790000Z,2026-03-19T15:50:16.445000Z,2026-03-20T05:57:41.685000Z,2026-03-19T15:50:16.797021Z,232.0,CO7GMO3N,12,Software Engineer / Developer,"English, Spanish",31,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
69bc1aa14147bc527ff2304e,69b84fe4820815fca021152c,APPROVED,Not Applicable,2026-03-19T15:47:49.586000Z,2026-03-19T15:51:30.783000Z,2026-03-20T05:57:41.975000Z,2026-03-19T15:51:31.133668Z,222.0,CO7GMO3N,19,Software Engineer / Developer,English,41,Male,White,United States,United States,DATA_EXPIRED,English,No,Full-Time
69bc1b12eb18a2e7aff4eb48,68d266efb9a0007cb92e022b,APPROVED,Not Applicable,2026-03-19T15:49:41.331000Z,2026-03-19T15:52:26.279000Z,2026-03-20T05:57:42.263000Z,2026-03-19T15:52:26.737739Z,165.0,CO7GMO3N,47,Software Engineer / Developer,"English, Hungarian",42,Male,White,Hungary,United Kingdom,DATA_EXPIRED,Hungarian,No,Full-Time
69bc1dd0ba4a10fdbe33bc20,698fa3fa38c04cebe60d2b8f,APPROVED,Not Applicable,2026-03-19T16:01:22.241000Z,2026-03-19T16:04:44.476000Z,2026-03-20T05:57:42.539000Z,2026-03-19T16:04:44.880792Z,203.0,CO7GMO3N,6,Software Engineer / Developer,English,31,Male,Asian,China,Sweden,China,Chinese,No,Full-Time
69bc219dee1fba7938b4d0b4,614db7370f904eb5265fbc1e,APPROVED,Not Applicable,2026-03-19T16:17:38.170000Z,2026-03-19T16:21:31.432000Z,2026-03-20T05:57:42.835000Z,2026-03-19T16:21:31.859672Z,234.0,CO7GMO3N,439,Software Engineer / Developer,"German, English",35,Male,White,Germany,Germany,Germany,German,Yes,Unemployed (and job seeking)
69bc222ace1c879bf2e6c2a0,69af1f1bf0e3b640d9616124,APPROVED,Not Applicable,2026-03-19T16:20:03.938000Z,2026-03-19T16:23:17.347000Z,2026-03-20T05:57:43.127000Z,2026-03-19T16:23:17.746184Z,194.0,CO7GMO3N,3,Software Engineer / Developer,"English, Basque, Portuguese, Spanish",24,Female,Prefer not to say,Spain,Spain,Spain,Spanish,Yes,Part-Time
69bc23e821fd30b242cd27f1,697a6b3dbf6c417556471fed,APPROVED,Not Applicable,2026-03-19T16:27:23.540000Z,2026-03-19T16:30:36.802000Z,2026-03-20T05:57:43.437000Z,2026-03-19T16:30:37.160869Z,194.0,CO7GMO3N,43,Software Engineer / Developer,English,22,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
69bc2704e56c5e7c691c9b45,699dd5c23229ec878aad1b0d,APPROVED,Not Applicable,2026-03-19T16:40:41.309000Z,2026-03-19T16:43:22.357000Z,2026-03-20T05:57:43.734000Z,2026-03-19T16:43:22.793171Z,162.0,CO7GMO3N,775,Software Engineer / Developer,English,25,Male,White,United States,United States,United States,English,No,Full-Time
69bc30b1f128c09be8b4a389,697a7f048e92454d9fd5ae28,APPROVED,Not Applicable,2026-03-19T17:21:53.283000Z,2026-03-19T17:25:08.397000Z,2026-03-20T05:57:44.072000Z,2026-03-19T17:25:08.763000Z,196.0,CO7GMO3N,2,Software Engineer / Developer,"French, Spanish, English",27,Male,White,Portugal,Belgium,DATA_EXPIRED,Portuguese,No,Full-Time
69bc3315f8f212482b9d6cfd,692552ac22a1de86c4976464,APPROVED,Not Applicable,2026-03-19T17:32:09.442000Z,2026-03-19T17:34:48.671000Z,2026-03-20T05:57:44.377000Z,2026-03-19T17:34:49.041170Z,160.0,CO7GMO3N,199,Software Engineer / Developer,English,31,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
69bc3397c66bde2f8c87ef9e,6932d0b36b2c14ac33eea2d3,APPROVED,Not Applicable,2026-03-19T17:34:19.925000Z,2026-03-19T17:37:20.840000Z,2026-03-20T05:57:44.716000Z,2026-03-19T17:37:21.230463Z,181.0,CO7GMO3N,241,Software Engineer / Developer,"Swedish, English",43,Male,White,United Kingdom,Sweden,United Kingdom,English,No,Full-Time
69bc36f0bb9c9baae32e4eb7,69205e18d437f24405037595,APPROVED,Not Applicable,2026-03-19T17:48:35.297000Z,2026-03-19T17:52:29.062000Z,2026-03-20T05:57:45.035000Z,2026-03-19T17:52:29.441091Z,234.0,CO7GMO3N,256,Software Engineer / Developer,"Chinese, English",30,Male,Asian,United States,United States,United States,English,No,Full-Time
69bc3b9c627fa0222d1383b7,698a1b719c7c76fa18eeb5fb,APPROVED,Not Applicable,2026-03-19T18:08:33.979000Z,2026-03-19T18:11:31.611000Z,2026-03-20T05:57:45.332000Z,2026-03-19T18:11:32.022600Z,178.0,CO7GMO3N,25,Software Engineer / Developer,"English, Chinese, Cantonese, Mandarin",28,Female,Asian,Hong Kong,Canada,Canada,Chinese,Yes,Full-Time
69bc3bde0a92c4d60127dc60,698df4f9a6e6eb0522693ee9,APPROVED,Not Applicable,2026-03-19T18:09:43.726000Z,2026-03-19T18:12:39.232000Z,2026-03-20T05:57:45.599000Z,2026-03-19T18:12:39.653332Z,176.0,CO7GMO3N,6,Software Engineer / Developer,"English, Vietnamese",24,Male,Asian,Vietnam,Finland,Vietnam,Vietnamese,Yes,Due to start a new job within the next month
69bc3fa99ca3cfb518c5e9c5,696713a8f4791af88d273138,APPROVED,Not Applicable,2026-03-19T18:26:20.287000Z,2026-03-19T18:34:33.993000Z,2026-03-20T05:57:45.885000Z,2026-03-19T18:34:34.474332Z,494.0,CO7GMO3N,500,Software Engineer / Developer,English,31,Male,Asian,Korea,United States,United States,Korean,No,Full-Time
69bc40b45db79bd71ab5b478,6991fd5c1bbedd34b1a164e8,APPROVED,Not Applicable,2026-03-19T18:30:12.172000Z,2026-03-19T18:35:05.248000Z,2026-03-20T05:57:46.173000Z,2026-03-19T18:35:05.698630Z,294.0,CO7GMO3N,8,Software Engineer / Developer,"English, French",43,Male,White,France,France,France,French,No,Full-Time
69bc496c627a28ac235abb2b,6930822560f6c6460eac8724,APPROVED,Not Applicable,2026-03-19T19:07:26.896000Z,2026-03-19T19:11:51.738000Z,2026-03-20T05:57:46.536000Z,2026-03-19T19:11:53.340733Z,265.0,CO7GMO3N,76,Software Engineer / Developer,"German, English",23,Male,White,Germany,Germany,Germany,German,No,Full-Time
69bc4a7ec60731df329e9ec0,699dd7cd7810ed6d38230eb3,APPROVED,Not Applicable,2026-03-19T19:12:19.587000Z,2026-03-19T19:15:25.451000Z,2026-03-20T05:57:46.836000Z,2026-03-19T19:15:25.900233Z,186.0,CO7GMO3N,8,Software Engineer / Developer,"Cantonese, French, English",32,Male,Asian,Canada,Canada,Canada,English,No,Full-Time
69bc4d12a5e78393dde9914f,6990dd173d4143d670ede47f,APPROVED,Not Applicable,2026-03-19T19:23:06.147000Z,2026-03-19T19:27:44.499000Z,2026-03-20T05:57:47.121000Z,2026-03-19T19:27:44.873255Z,279.0,CO7GMO3N,23,Software Engineer / Developer,English,24,Male,Black,United States,United States,DATA_EXPIRED,English,No,Part-Time
69bc5475c68f61219c936a34,69ac853c7f35177688d5a34b,APPROVED,Not Applicable,2026-03-19T19:55:37.868000Z,2026-03-19T20:08:39.418000Z,2026-03-20T05:57:47.420000Z,2026-03-19T20:08:39.854416Z,782.0,CO7GMO3N,2,Software Engineer / Developer,English,30,Male,Black,Nigeria,Canada,Nigeria,English,No,Part-Time
69bc56902772706b5c21dcca,697e2850073b6b6c3fa63d60,APPROVED,Not Applicable,2026-03-19T20:03:34.546000Z,2026-03-19T20:07:05.395000Z,2026-03-20T05:57:47.721000Z,2026-03-19T20:07:05.907768Z,211.0,CO7GMO3N,312,Software Engineer / Developer,English,61,Male,White,United States,United States,United States,English,No,Part-Time
69bc56b74d68250af1f11e0e,691c7d8c4b8aa70cd3d36fa5,APPROVED,Not Applicable,2026-03-19T20:04:11.261000Z,2026-03-19T20:09:05.758000Z,2026-03-20T05:57:48.031000Z,2026-03-19T20:09:32.485192Z,295.0,CO7GMO3N,27,Software Engineer / Developer,English,36,Male,White,Austria,Austria,Austria,German,No,Full-Time
69bc578d9079062d888513f2,69bc167817d7f11cf60dc98b,APPROVED,Not Applicable,2026-03-19T20:07:47.749000Z,2026-03-19T20:12:29.639000Z,2026-03-20T05:57:48.492000Z,2026-03-19T20:12:30.068319Z,282.0,CO7GMO3N,3,Cybersecurity Engineer,English,46,Male,White,United States,United States,United States,English,No,Full-Time
