Role,Condition,n,Mean,SD,Median,Q1,Q3
Buyer,Baseline,62,8774,7558,9000,3500,11250
Buyer,Anchor,56,11607,5383,10500,8500,15500
Seller,Baseline,60,12633,9442,10500,7500,16125
Seller,Anchor,54,12889,4914,14000,10000,15500
