Term,beta,SE_HC1,t,p,CI_lo,CI_hi
Intercept,8774,960,9.135,0.0,6882,10666
Seller [H1],3859,1552,2.486,0.0136,801,6917
Anchor,2833,1200,2.361,0.0191,469,5197
Seller×Anchor [H2],-2577,1837,-1.403,0.1619,-6195,1041
